[ 0.9563508   0.04364919],0,0
[ 0.97375429  0.02624566],0,0
[  3.72559225e-05   9.99962687e-01],1,1
[ 0.210113    0.78988701],1,1
[ 0.56464928  0.43535078],0,0
[ 0.01660224  0.98339772],1,1
[ 0.99612695  0.00387306],0,0
[ 0.25535989  0.74464017],1,1
[ 0.10123722  0.89876282],1,1
[ 0.9987551   0.00124495],0,0
[ 0.99685705  0.00314291],0,0
[ 0.11688391  0.88311607],1,1
[ 0.18666832  0.81333172],1,1
[ 0.81970334  0.1802966 ],0,0
[ 0.04602827  0.95397168],1,1
[ 0.95548242  0.04451757],0,0
[ 0.37369868  0.62630129],1,1
[ 0.9739489   0.02605119],0,0
[ 0.45663926  0.54336077],1,1
[ 0.0048936   0.99510646],1,1
[ 0.95969802  0.04030197],0,0
[ 0.00840956  0.99159044],1,1
[ 0.90472996  0.09527005],0,1
[ 0.8486858   0.15131423],0,1
[ 0.00277573  0.99722433],1,1
[ 0.97973621  0.02026382],0,0
[ 0.99830711  0.00169287],0,0
[ 0.88047969  0.11952034],0,0
[ 0.19204007  0.80795997],1,1
[ 0.22059609  0.77940398],1,1
[ 0.87947845  0.12052155],0,0
[ 0.99453282  0.00546714],0,0
[ 0.98824686  0.01175312],0,0
[  9.99925733e-01   7.42749980e-05],0,0
[ 0.9944582   0.00554177],0,0
[ 0.00287893  0.99712104],1,1
[ 0.11339242  0.88660753],1,1
[ 0.92533219  0.07466787],0,0
[ 0.19382136  0.80617863],1,1
[ 0.36758116  0.63241893],1,0
[ 0.9012832   0.09871679],0,0
[  2.42399852e-04   9.99757588e-01],1,1
[ 0.99897921  0.00102083],0,0
[ 0.04698882  0.95301116],1,0
[ 0.41508022  0.58491981],1,1
[ 0.28955293  0.71044707],1,1
[ 0.00926571  0.99073434],1,1
[ 0.99843532  0.00156469],0,0
[ 0.01755611  0.98244387],1,1
[ 0.80678189  0.19321819],0,0
[ 0.19190612  0.80809391],1,1
[ 0.04416349  0.95583653],1,1
[ 0.68567324  0.31432676],0,1
[ 0.12524697  0.87475306],1,1
